name,slugCards,score
Evolved DoomWave,"['Sunspot', 'Nebula', 'MistyKnight', 'Armor', 'JeffTheBabyLandShark', 'Cosmo', 'Wave', 'Cyclops', 'HighEvolutionary', 'DoctorDoom', 'AmericaChavez', 'Hulk']",101
Alioth Ramp,"['Nebula', 'JeffTheBabyLandShark', 'Electro', 'Wave', 'IronLad', 'DevilDinosaur', 'Leader', 'Alioth', 'DoctorDoom', 'Galactus', 'Odin', 'AmericaChavez']",101
Move DoomWave,"['Nightcrawler', 'Angela', 'Kraven', 'JeffTheBabyLandShark', 'Silk', 'JeanGrey', 'Wave', 'SpiderMan', 'MilesMorales', 'Alioth', 'DoctorDoom', 'AmericaChavez']",101
Cerebro 5,"['LukeCage', 'Medusa', 'Lizard', 'Silk', 'Cerebro', 'Wave', 'Polaris', 'SpiderMan', 'Enchantress', 'MilesMorales', 'Alioth', 'DoctorDoom']",101
Iron Patriot,"['Forge', 'MisterSinister', 'Patriot', 'Brood', 'SilverSurfer', 'AbsorbingMan', 'IronLad', 'IronMan', 'BlueMarvel', 'Alioth', 'DoctorDoom', 'AmericaChavez']",101
Shuri,"['Nebula', 'Zero', 'EbonyMaw', 'Armor', 'Lizard', 'Sauron', 'Shuri', 'Enchantress', 'TyphoidMary', 'Taskmaster', 'Vision', 'RedSkull']",51
Galactus,"['Nebula', 'Snowguard', 'Daredevil', 'JeffTheBabyLandShark', 'Electro', 'Wave', 'Loki', 'ShangChi', 'Hobgoblin', 'ProfessorX', 'Alioth', 'Galactus']",51
Discard Dracula,"['Blade', 'Morbius', 'Wolverine', 'Swarm', 'ColleenWing', 'Daken', 'LadySif', 'Dracula', 'SilverSamurai', 'Modok', 'Apocalypse', 'AmericaChavez']",50
Loki Collector,"['KittyPryde', 'Quinjet', 'Snowguard', 'Angela', 'TheCollector', 'Cable', 'JeffTheBabyLandShark', 'Cosmo', 'AgentCoulson', 'Loki', 'Legion', 'AmericaChavez']",50
Deadpool Destroy,"['Deadpool', 'X23', 'BuckyBarnes', 'Forge', 'Carnage', 'Wolverine', 'Killmonger', 'Venom', 'Deathlok', 'ArnimZola', 'Knull', 'Death']",25
